ij,512,0,0,517
ij,512,0,1,515
ij,512,0,2,515
ij,1024,0,0,2598
ij,1024,0,1,2616
ij,1024,0,2,2649
ij,2048,0,0,10361
ij,2048,0,1,10399
ij,2048,0,2,10506
ji,512,0,0,517
ji,512,0,1,1040
ji,512,0,2,515
ji,1024,0,0,2587
ji,1024,0,1,2588
ji,1024,0,2,2603
ji,2048,0,0,15582
ji,2048,0,1,15407
ji,2048,0,2,13504
ijk,512,0,0,421898
ijk,512,0,1,408007
ijk,512,0,2,393625
ijk,1024,0,0,3464914
ijk,1024,0,1,3318228
ijk,1024,0,2,3313579
ijk,2048,0,0,37779475
ijk,2048,0,1,37782138
ijk,2048,0,2,37751818
ikj,512,0,0,90354
ikj,512,0,1,89099
ikj,512,0,2,88111
ikj,1024,0,0,710706
ikj,1024,0,1,709682
ikj,1024,0,2,708566
ikj,2048,0,0,6415880
ikj,2048,0,1,6403536
ikj,2048,0,2,6470532
blocks,512,16,0,93020
blocks,512,16,1,90075
blocks,512,16,2,91153
blocks,512,32,0,87800
blocks,512,32,1,88091
blocks,512,32,2,88660
blocks,512,64,0,87112
blocks,512,64,1,87551
blocks,512,64,2,87549
blocks,512,128,0,87134
blocks,512,128,1,86142
blocks,512,128,2,86618
blocks,1024,16,0,733479
blocks,1024,16,1,733155
blocks,1024,16,2,727417
blocks,1024,32,0,713803
blocks,1024,32,1,715058
blocks,1024,32,2,713750
blocks,1024,64,0,700465
blocks,1024,64,1,699898
blocks,1024,64,2,699841
blocks,1024,128,0,695375
blocks,1024,128,1,694188
blocks,1024,128,2,693426
blocks,2048,16,0,6290424
blocks,2048,16,1,6230110
blocks,2048,16,2,6275892
blocks,2048,32,0,5782385
blocks,2048,32,1,5743118
blocks,2048,32,2,5796396
blocks,2048,64,0,5644661
blocks,2048,64,1,5679361
blocks,2048,64,2,5653405
blocks,2048,128,0,5632394
blocks,2048,128,1,5636101
blocks,2048,128,2,5626747
