ij,512,0,0,148
ij,512,0,1,148
ij,512,0,2,148
ij,1024,0,0,610
ij,1024,0,1,612
ij,1024,0,2,622
ij,2048,0,0,2849
ij,2048,0,1,2801
ij,2048,0,2,2821
ji,512,0,0,1045
ji,512,0,1,999
ji,512,0,2,995
ji,1024,0,0,4274
ji,1024,0,1,4218
ji,1024,0,2,4145
ji,2048,0,0,20138
ji,2048,0,1,20131
ji,2048,0,2,20146
ijk,512,0,0,511473
ijk,512,0,1,446804
ijk,512,0,2,424119
ijk,1024,0,0,2538927
ijk,1024,0,1,3418577
ijk,1024,0,2,3302134
ijk,2048,0,0,42961583
ijk,2048,0,1,41744986
ijk,2048,0,2,42987561
ikj,512,0,0,54818
ikj,512,0,1,54899
ikj,512,0,2,54867
ikj,1024,0,0,433728
ikj,1024,0,1,434409
ikj,1024,0,2,435321
ikj,2048,0,0,4005692
ikj,2048,0,1,3945027
ikj,2048,0,2,3953589
blocks,512,16,0,42927
blocks,512,16,1,43503
blocks,512,16,2,43213
blocks,512,32,0,33379
blocks,512,32,1,33345
blocks,512,32,2,32978
blocks,512,64,0,31560
blocks,512,64,1,30979
blocks,512,64,2,30885
blocks,512,128,0,29870
blocks,512,128,1,30385
blocks,512,128,2,29414
blocks,1024,16,0,339641
blocks,1024,16,1,330768
blocks,1024,16,2,332537
blocks,1024,32,0,269376
blocks,1024,32,1,269486
blocks,1024,32,2,270654
blocks,1024,64,0,249989
blocks,1024,64,1,248563
blocks,1024,64,2,251589
blocks,1024,128,0,239637
blocks,1024,128,1,236351
blocks,1024,128,2,241370
blocks,2048,16,0,1943005
blocks,2048,16,1,3128960
blocks,2048,16,2,3103320
blocks,2048,32,0,2262170
blocks,2048,32,1,2239088
blocks,2048,32,2,2241176
blocks,2048,64,0,2027438
blocks,2048,64,1,2020081
blocks,2048,64,2,2020995
blocks,2048,128,0,1940898
blocks,2048,128,1,1931626
blocks,2048,128,2,1924194
